File,AMNH,FMNH,iNaturalist,KU,MVZ,NHMUK,NMR,SMF,USNM,YPM
Mus musculus castaneus,5,139,7,4,32,0,1,0,81,0
Mus musculus domesticus,0,0,0,0,0,0,8,0,0,186
Mus musculus musculus,106,1812,4677,842,5879,106,41,1,495,222
Mus musculus molossinus,0,1,0,10,0,0,0,0,0,0
Mus spretus,0,3,33,0,123,0,0,0,449,3
